mission,N_laps,position,velocity,acceleration,time,throttle,thrust,loadfactor,AOA,climb_pitch_angle,bank_angle,phase,battery_SoC,battery_voltage,Amps,motor_input_power
0,4,[-17.16871084  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.39999999999694,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.1951869019055,22.794,20.065012551485648,0
0,4,[-14.66875117  50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.49999999999693,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.16975247324915,22.794,20.065012551485648,0
0,4,[-12.1687915   50.49871343  76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.59999999999692,0.5919019315367394,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.144318044592794,22.794,20.065012551485648,0
0,4,[-9.66883183 50.49871343 76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.69999999999692,0.5919019315367394,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.11888361593645,22.7925847166552,20.065012551485648,0
0,4,[-7.16887216 50.49871343 76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.7999999999969,0.5919386851105826,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.09345076650811,22.788766827956483,20.065012551485648,0
0,4,[-4.66891249 50.49871343 76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.8999999999969,0.5920378548477289,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.06802217722795,22.793883699852717,20.065012551485648,0
0,4,[-2.16895282 50.49871343 76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],129.9999999999969,0.5919049515697764,1.4698872101962182,0.9999677373017277,2.974102173878787,,,26,57.042587878343824,22.788531648333972,20.065012551485648,0
0,4,[ 0.33100685 50.49871343 76.41937156],[24.99959671  0.          0.        ],[-0.00403287  0.          0.        ],130.0999999999969,0.5920439647297241,1.469887210196218,0.9999677373017274,2.9741021738787876,,,26,57.017159551486195,22.788,20.065012551485648,0
0,4,[ 2.82684314 50.62298969 76.41937156],[25.03393326  2.49924748  0.        ],[-0.89120044 24.91045625  0.        ],130.1999999999969,0.7869482954232734,3.171604867593247,2.725813599453162,8.0,,68.47772352768125,27,56.96921810338094,22.788,37.83057397879262,0
0,4,[ 5.29802751 50.99459757 76.41937156],[24.50656226  4.94251011  0.        ],[-4.91813291 24.38569222  0.        ],130.29999999999688,0.7050607272568269,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.93109588599145,22.783069475924258,30.082223674633997,0
0,4,[ 7.72007112 51.60986122 76.41937156],[23.89433318  7.35260784  0.        ],[-7.31634367 23.77648274  0.        ],130.39999999999688,0.705213310687004,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.89298191691295,22.782,30.082223674633997,0
0,4,[10.06901165 52.46269358 76.41937156],[23.04570711  9.68996303  0.        ],[-9.64217068 22.93204223  0.        ],130.49999999999687,0.705246416149968,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.854869736968816,22.782,30.082223674633997,0
